Element	Ion	Isotope	lambda	r_lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Labellow	Jlow	Elow	r_Elow	Labelup	Jup	Eup	r_Eup	Rad-damp	r_Rad-damp	Sta-damp	r_Sta-damp	Vdw-damp	r_Vdw-damp
Fe	1	0	5491.8315	BK	-2.188	0.066	BK	Y	U	'  LS                                                                           3p6.3d8 c3F'	2.0	4.186	K07	'  LS                                                                  3p6.3d7.(2P).4p u3D*'	3.0	6.443	K07	8.09	K07	-5.63	K07	-7.69	K07
Fe	1	0	5494.4626	FMW	-1.99	0.06	MRW	U	U	'  LS                                                                        -          c3F'	4.0	4.076	K07	'  LS                                                                 -                x3H*'	5.0	6.332	K07	7.12	K07	-6.03	K07	330.29	BA-J,BPM
Fe	1	0	5501.4649	K07	-3.046	0.032	BWL	Y	Y	'  LS                                                                   3p6.3d7.(4F).4s a5F'	3.0	0.958	K07	'  LS                                                         3p6.3d6.(5D).4s.4p.(3P*) z5D*'	4.0	3.211	K07	7.18	K07	-6.22	K07	239.249	BA-J,BPM
Mo	1	0	5506.493	WBb	0.06		WBb	Y	U	'  LS                                               4d5.(6S).5s                         a5S'	2.0	1.335	WBb	'  LS                                                  4d5.(6S).5p                     z5P*'	3.0	3.586	WBb						
Fe	1	0	5506.7787	K07	-2.795	0.013	GESB79b+BWL	Y	U	'  LS                                                                   3p6.3d7.(4F).4s a5F'	2.0	0.99	K07	'  LS                                                         3p6.3d6.(5D).4s.4p.(3P*) z5D*'	3.0	3.241	K07	7.16	K07	-6.22	K07	241.248	BA-J,BPM
Ca	1	0	5512.98	S +Sm	-0.464	0.012	S	Y	U	'  LS                                                                         3p6.4s.4p 1P*'	1.0	2.933	S +Sm	'  LS                                                                         3p6.4p2    1S'	0.0	5.181	S +Sm	8.45	K07	-4.05	K07	-7.316	K07
Ti	1	0	5514.3434	LGWSC	-0.66		2013ApJS..205...11L	Y	U	'  LS                                                                       3d3.(4F).4s b3F'	2.0	1.43	LGWSC	'  LS                                                             3d2.(3F).4s.4p.(1P*) w3D*'	1.0	3.678	LGWSC	8.14	K10	-5.99	K10	-7.71	K10
Ti	1	0	5514.5335	LGWSC	-0.5		2013ApJS..205...11L	Y	U	'  LS                                                                       3d3.(4F).4s b3F'	3.0	1.443	LGWSC	'  LS                                                             3d2.(3F).4s.4p.(1P*) w3D*'	2.0	3.691	LGWSC	8.15	K10	-6.07	K10	-7.71	K10
Mn	1	0	5516.693	K07	-2.753		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
Mn	1	0	5516.709	K07	-2.897		1984MNRAS.208..147B	Y	U	'  LS                                                                       3d6.(5D).4s a6D'	1.5	2.178	K07	'  LS                                                             3d5.(6S).4s.4p.(1P*) y6P*'	1.5	4.425	K07	8.62	K07	-6.0	K07	399.281	BA-J,BPM
