wave_peak	wave_base	wave_top	note
609.43728	609.3873	609.4873	Fe 1
609.66641	609.6164	609.7164	Fe 1
611.33192	611.2819	611.3819	Fe 2
612.02464	611.9746	612.0746	Fe 1
612.79062	612.7406	612.8406	Fe 1
613.66149	613.6115	613.7115	Fe 1
613.69938	613.6494	613.7494	Fe 1
614.92459	614.8746	614.9746	Fe 2
615.16173	615.1117	615.2117	Fe 1
615.77279	615.7228	615.8228	Fe 1
616.53598	616.486	616.586	Fe 1
617.33343	617.2834	617.3834	Fe 1
618.02026	617.9703	618.0703	Fe 1
618.79892	618.7489	618.8489	Fe 1
619.15575	619.1058	619.2058	Fe 1
620.03125	619.9812	620.0812	Fe 1
621.34294	621.2929	621.3929	Fe 1
621.92805	621.878	621.978	Fe 1
622.67342	622.6234	622.7234	Fe 1
622.92259	622.8726	622.9726	Fe 1
623.26403	623.214	623.314	Fe 1
624.06462	624.0146	624.1146	Fe 1
624.6318	624.5818	624.6818	Fe 1
624.75569	624.7057	624.8057	Fe 2
625.25549	625.2055	625.3055	Fe 1
626.51323	626.4632	626.5632	Fe 1
627.02234	626.9723	627.0723	Fe 1
627.12779	627.0778	627.1778	Fe 1
629.77926	629.7293	629.8293	Fe 1
630.14999	630.1	630.2	Fe 1
631.14994	631.0999	631.1999	Fe 1
631.5811	631.5311	631.6311	Fe 1
631.80179	631.7518	631.8518	Fe 1
632.2685	632.2185	632.3185	Fe 1
633.0847799999999	633.0348	633.1348	Fe 1
633.5329899999999	633.483	633.583	Fe 1
633.6823400000001	633.6323	633.7323	Fe 1
633.88758	633.8376	633.9376	Fe 1
635.38362	635.3336	635.4336	Fe 1
636.4363999999999	636.3864	636.4864	Fe 1
636.9458999999999	636.8959	636.9959	Fe 2
638.07432	638.0243	638.1243	Fe 1
639.36004	639.31	639.41	Fe 1
640.0000299999999	639.95	640.05	Fe 1
640.0317	639.9817	640.0817	Fe 1
640.80174	640.7517	640.8517	Fe 1
641.1648	641.1148	641.2148	Fe 1
643.0845	643.0345	643.1345	Fe 1
643.26757	643.2176	643.3176	Fe 2
644.29579	644.2458	644.3458	Fe 2
645.63796	645.588	645.688	Fe 2
647.5623899999999	647.5124	647.6124	Fe 1
648.1869800000001	648.137	648.237	Fe 1
649.4980400000001	649.448	649.548	Fe 1
649.57413	649.5241	649.6241	Fe 1
649.64656	649.5966	649.6966	Fe 1
649.89383	649.8438	649.9438	Fe 1
651.60766	651.5577	651.6577	Fe 2
651.83657	651.7866	651.8866	Fe 1
653.39281	653.3428	653.4428	Fe 1
654.6238099999999	654.5738	654.6738	Fe 1
656.92141	656.8714	656.9714	Fe 1
657.42266	657.3727	657.4727	Fe 1
658.1209200000001	658.0709	658.1709	Fe 1
659.29124	659.2412	659.3412	Fe 1
659.38695	659.337	659.4369	Fe 1
659.75592	659.7059	659.8059	Fe 1
660.8025	660.7525	660.8525	Fe 1
660.91097	660.861	660.961	Fe 1
662.7543800000001	662.7044	662.8044	Fe 1
663.3412000000001	663.2912	663.3912	Fe 1
663.37487	663.3249	663.4249	Fe 1
663.41057	663.3606	663.4606	Fe 1
664.80796	664.758	664.858	Fe 1
669.91413	669.8641	669.9641	Fe 1
670.3566	670.3066	670.4066	Fe 1
670.51009	670.4601	670.5601	Fe 1
671.3046	671.2546	671.3546	Fe 1
671.3742500000001	671.3243	671.4242	Fe 1
672.53558	672.4856	672.5856	Fe 1
673.31503	673.265	673.365	Fe 1
673.95204	673.902	674.002	Fe 1
675.01515	674.9652	675.0651	Fe 1
675.27066	675.2207	675.3207	Fe 1
678.68584	678.6358	678.7358	Fe 1
679.32582	679.2758	679.3758	Fe 1
680.6842899999999	680.6343	680.7343	Fe 1
681.02622	680.9762	681.0762	Fe 1
682.03709	681.9871	682.0871	Fe 1
682.85912	682.8091	682.9091	Fe 1
683.70056	683.6506	683.7506	Fe 1
683.983	683.933	684.033	Fe 1
684.13386	684.0839	684.1839	Fe 1
684.26853	684.2185	684.3185	Fe 1
684.36554	684.3155	684.4155	Fe 1
851.4072	851.3572	851.4572	Fe 1
851.5108399999999	851.4608	851.5608	Fe 1
857.1804400000001	857.1304	857.2304	Fe 1
858.2257400000001	858.1757	858.2757	Fe 1
859.88286	859.8329	859.9329	Fe 1
861.18031	861.1303	861.2303	Fe 1
862.1600599999999	862.1101	862.2101	Fe 1
868.86239	868.8124	868.9124	Fe 1
869.9454	869.8954	869.9954	Fe 1
875.71868	875.6687	875.7687	Fe 1
