requested_name,match_name,element,median_value,mean_value,reported_value,catalog_id,catalog_citation,catalog_doi,note,solarnorm,median_uncertainty,std_dev,unique_citations,unique_dois
hd 128621,hd128621,Eu_II,,,0.28,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Eu_II,,,0.03,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Eu_II,,,0.05,koch02_raw_01_01_2025,Koch & Edvardsson (2002) (2002),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Eu_II,,,0.39,luck18_raw_01_01_2025,Luck (2018) (2018),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Eu_II,,,0.16,neuforge97_raw_01_01_2025,Neuforge-Verheecke & Magain (1997) (1997),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Koch & Edvardsson (2002) (2002); Luck (2018) (2018); Neuforge-Verheecke & Magain (1997) (1997),
hd 128621,hd128621,Y_II,0.13,0.13,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020); Neuforge-Verheecke & Magain (1997) (1997); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Y_II,,,0.13,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Neuforge-Verheecke & Magain (1997) (1997); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Y_II,,,0.09,neuforge97_raw_01_01_2025,Neuforge-Verheecke & Magain (1997) (1997),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Neuforge-Verheecke & Magain (1997) (1997); Porto de Mello et al. (2008) (2008),
hd 128621,hd128621,Y_II,,,0.16,portodemello08_raw_01_01_2025,Porto de Mello et al. (2008) (2008),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Neuforge-Verheecke & Magain (1997) (1997); Porto de Mello et al. (2008) (2008),
hd 10700,hd10700,Ba_II,-0.53,-0.55,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.54,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.68,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.52,castro99_raw_01_01_2025,Castro et al. (1999) (1999),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.5,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.6,luck05_01_of_02_unique_01_01_2025,Luck & Heiter (2005) (2005),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.44,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.42,luck18_raw_01_01_2025,Luck (2018) (2018),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
hd 10700,hd10700,Ba_II,,,-0.79,thevenin98_01_of_02_unique_01_01_2025,Thevenin (1998) (1998),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Castro et al. (1999) (1999); Delgado Mena et al. (2017) (2017); Luck & Heiter (2005) (2005); Luck (2017) (2017); Luck (2018) (2018); Thevenin (1998) (1998),
