element	wave_A	wave_nm	loggf	EP	species	gamma	gamma6	vdW
106.1	5104.482	510.4482	-6.799	2.165	106.00112	0.0	0.0	0.0
62.1	5104.482	510.4482	-2.426	0.997	62.1149	0.0	0.0	0.0
62.1	5104.482	510.4482	-2.426	0.997	62.1149	0.0	0.0	0.0
62.1	5104.483	510.4483	-1.983	0.997	62.1149	0.0	0.0	0.0
62.1	5104.485	510.44849999999997	-2.038	0.997	62.1149	0.0	0.0	0.0
62.1	5104.485	510.44849999999997	-2.477	0.997	62.1149	0.0	0.0	0.0
62.1	5104.485	510.44849999999997	-0.65	0.997	62.115	0.0	0.0	0.0
62.1	5104.487	510.44870000000003	-1.892	0.997	62.1149	0.0	0.0	0.0
62.1	5104.489	510.4489	-1.783	0.997	62.1149	0.0	0.0	0.0
62.1	5104.489	510.4489	-2.602	0.997	62.1149	0.0	0.0	0.0
62.1	5104.491	510.4491	-1.87	0.997	62.1149	0.0	0.0	0.0
62.1	5104.494	510.44939999999997	-1.585	0.997	62.1149	0.0	0.0	0.0
62.1	5104.494	510.44939999999997	-2.824	0.997	62.1149	0.0	0.0	0.0
62.1	5104.495	510.4495	-2.456	0.997	62.1147	0.0	0.0	0.0
62.1	5104.496	510.44960000000003	-2.171	0.997	62.1147	0.0	0.0	0.0
62.1	5104.497	510.4497	-2.426	0.997	62.1147	0.0	0.0	0.0
62.1	5104.497	510.4497	-2.426	0.997	62.1147	0.0	0.0	0.0
62.1	5104.497	510.4497	-1.924	0.997	62.1149	0.0	0.0	0.0
62.1	5104.499	510.44989999999996	-1.983	0.997	62.1147	0.0	0.0	0.0
62.1	5104.501	510.4501	-2.038	0.997	62.1147	0.0	0.0	0.0
62.1	5104.501	510.4501	-2.477	0.997	62.1147	0.0	0.0	0.0
62.1	5104.501	510.4501	-1.421	0.997	62.1149	0.0	0.0	0.0
62.1	5104.501	510.4501	-3.234	0.997	62.1149	0.0	0.0	0.0
62.1	5104.503	510.45029999999997	-1.892	0.997	62.1147	0.0	0.0	0.0
62.1	5104.503	510.45029999999997	-0.65	0.997	62.1148	0.0	0.0	0.0
62.1	5104.504	510.4504	-2.12	0.997	62.1149	0.0	0.0	0.0
62.1	5104.506	510.4506	-1.783	0.997	62.1147	0.0	0.0	0.0
62.1	5104.506	510.4506	-2.602	0.997	62.1147	0.0	0.0	0.0
62.1	5104.508	510.45079999999996	-1.87	0.997	62.1147	0.0	0.0	0.0
62.1	5104.508	510.45079999999996	-1.28	0.997	62.1149	0.0	0.0	0.0
112.1	5104.512	510.4512	0.504	0.575	112.00124	0.0	0.0	0.0
62.1	5104.512	510.4512	-1.585	0.997	62.1147	0.0	0.0	0.0
62.1	5104.512	510.4512	-2.824	0.997	62.1147	0.0	0.0	0.0
62.1	5104.516	510.4516	-1.924	0.997	62.1147	0.0	0.0	0.0
62.1	5104.52	510.45200000000006	-1.421	0.997	62.1147	0.0	0.0	0.0
62.1	5104.52	510.45200000000006	-3.234	0.997	62.1147	0.0	0.0	0.0
21.0	5104.521	510.4521	-3.63	2.612	21.0	0.0	0.0	0.0
62.1	5104.524	510.4524	-2.12	0.997	62.1147	0.0	0.0	0.0
62.1	5104.529	510.45290000000006	-1.28	0.997	62.1147	0.0	0.0	0.0
106.1	5104.533	510.4533	-3.653	0.998	106.00113	0.0	0.0	0.0
62.1	5104.535	510.45349999999996	-0.65	0.997	62.1144	0.0	0.0	0.0
25.0	5104.536	510.4536	-2.79	4.824	25.0	0.0	0.0	0.0
112.1	5104.556	510.45559999999995	0.009	0.284	112.00124	0.0	0.0	0.0
112.1	5104.568	510.45680000000004	-2.622	0.535	112.00124	0.0	0.0	0.0
112.1	5104.606	510.4606	-0.179	0.535	112.00124	0.0	0.0	0.0
106.1	5104.623	510.46229999999997	-4.164	1.868	106.00113	0.0	0.0	0.0
112.1	5104.623	510.46229999999997	0.504	0.574	112.00125	0.0	0.0	0.0
23.0	5104.638	510.4638	-3.11	2.357	23.0	0.0	0.0	0.0
112.1	5104.652	510.4652	-3.199	0.575	112.00124	0.0	0.0	0.0
112.1	5104.667	510.46670000000006	0.009	0.283	112.00125	0.0	0.0	0.0
